确定性故障注入 · 订单⇔扣款一致性 · 无随机数

| 模式 | 故障注入点 | 崩溃瞬间 | 恢复后终态 | 恢复者 |
| --- | --- | --- | --- | --- |
| 2PC | prepare 前 | 无人行动 | 一致 | — |
| 2PC | O 已准备/P 未准备 | 单边已锁资源(in-doubt) | 一致(协调者恢复后裁决) | 协调者日志 |
| 2PC | 双方已备、未提交时崩溃 | 双方已准备、未提交(in-doubt) | 一致(恢复后统一裁决) | 协调者日志 |
| 2PC | commit-O 已执行/P 未执行 | 单边已提交 | 一致(协调者恢复后补齐) | 协调者日志 |
| SAGA | 第一步前 | 无人行动 | 一致 | — |
| SAGA | 订单已建/未扣款 | 中间态可见(订单存在未扣款) | 一致(补偿撤销订单) | SAGA 编排器 |
| SAGA | 同上且补偿也失败 | 补偿失败 | 不一致→人工对账 | 人工 |
| Outbox | 无故障 | 全链完成 | 一致 | — |
| Outbox | relay 已投递未标记 | 事件可能重复投递 | 一致(幂等消费去重) | relay 重试 |
| Outbox | 消费端已扣款丢 ACK | 重复投递中 | 一致(幂等键拒绝二次扣款) | relay 重试 |
