slug,date,score,prose,fences,evidence,refs,visual,chars,n_fences,n_refs,action,title
llm-15-context-eviction,2026-09-14,1,0,0,1,0,0,488,0,0,DEL?,上下文驱逐看价值不看数量：头尾策略拿走 81% 价值
service-config-hot-reload,2026-09-14,2,0,0,1,0,1,499,0,0,DEL?,配置热加载：解析全成功才换引用，50 次风暴写入无半截读
crdt-gcounter-merge,2026-09-14,3,1,0,1,0,1,505,0,0,DEL?,G-Counter 三定律：合并顺序无关、重复合并幂等、槽位隔离
gossip-rounds-infection,2026-09-14,3,1,0,1,0,1,514,0,0,DEL?,gossip 感染轮次：100 节点 fanout=1 用 16 轮，fanout=3 用 7 轮
read-your-write-session,2026-09-14,3,1,0,1,0,1,528,0,0,DEL?,读己之写两实现：粘性窗口覆盖 99.41%，版本门回主 0.59%
retry-budget-math,2026-09-14,3,1,0,1,0,1,528,0,0,DEL?,重试放大公式：p=2% 时 1.02x，p=20% 时 1.25x，熔断回 1.0
schema-breaking-detector,2026-09-14,3,1,0,1,0,1,573,0,0,DEL?,schema breaking 检测：改名与收窄标红，加可选放行
http-chunked-flush,2026-09-14,3,1,0,1,0,1,589,0,0,DEL?,chunked 流式 vs 缓冲：首字节 1ms 对 300ms
go-slog-level-filter,2026-09-14,3,1,0,1,0,1,592,0,0,DEL?,log/slog 三断言：Debug 默认不出，With 透传，输出是 JSON
sqlite-fts-tokenizer,2026-09-14,3,1,0,1,0,1,609,0,0,DEL?,SQLite FTS5 中文两坑：默认分词 0 命中，trigram 查询要满 3 token
service-pagination-cursor,2026-09-14,3,1,0,1,0,1,618,0,0,DEL?,翻页用 cursor 不用 offset：并发写入下 offset 重 2 行
cors-preflight-trio,2026-09-14,3,1,0,1,0,1,624,0,0,DEL?,CORS 预检三件套：204 + 方法 + 头，凭据必须回显具体源
sqlite-json-index,2026-09-14,3,1,0,1,0,1,631,0,0,DEL?,SQLite JSON 生成列索引：SEARCH 走索引，外加两个建表坑
http-range-resume,2026-09-14,3,1,0,1,0,1,658,0,0,DEL?,HTTP Range 断点续传：206 + Content-Range，524288 字节处续接
go-synctest-bubble,2026-09-14,3,1,0,1,0,1,683,0,0,DEL?,testing/synctest：Sleep 一小时的并发测试毫秒级跑完
sqlite-tx-isolation,2026-09-14,3,1,0,1,0,1,700,0,0,DEL?,SQLite 事务隔离两断言：读快照稳定，双写立即 BUSY
llm-error-shape-feeds-model,2026-09-14,3,1,0,1,0,1,711,0,0,DEL?,错误形状喂模型：粗码自愈 0/5，加 hint 到 5/5
service-payment-callback-design,2026-09-14,3,1,1,0,0,1,723,1,0,DEL?,设计一个支付回调系统：签名、去重、重试、查询一次串完
node-sqlite-builtin,2026-09-14,3,1,0,1,0,1,725,0,0,DEL?,Node 内置 sqlite：参数化、具名参数、显式事务三断言
go-timer-sync-channel,2026-09-14,3,1,0,1,0,1,728,0,0,DEL?,Go 1.27 timer 通道恒同步：cap 0、恰好一次、Stop/Reset
node-worker-offload,2026-09-14,3,1,0,1,0,1,750,0,0,DEL?,CPU 下放 worker：主线程 busy 推迟 timer 40ms，worker 里只剩 1m
